"camera","start_date","start_hour","end_date","end_hour"
"nbh1001",2014-01-05,4,2014-04-09,4
"nbh1005",2014-01-05,4,2014-04-09,4
"nbh1006",2014-01-05,5,2014-04-09,5
"nbh1007",2014-01-05,6,2014-02-09,1
"nbh1009",2014-01-05,7,2014-04-09,6
"nbh1011",2014-01-05,3,2014-04-09,4
"nbh1012",2014-01-10,13,2014-03-29,23
"nbh1013",2014-01-05,5,2014-02-04,2
"nbh2003",2014-01-06,4,2014-04-09,10
"nbh2004",2014-01-10,10,2014-04-09,11
"nbh2005",2014-01-19,16,2014-04-09,11
"nbh2007",2014-01-10,11,2014-04-09,11
"nbh2010",2014-01-06,11,2014-04-09,12
"nbh3001",2014-01-06,6,2014-01-24,8
"nbh3002",2014-01-06,7,2014-04-10,3
"nbh3005",2014-01-06,7,2014-04-10,4
"nbh3008",2014-01-06,7,2014-04-10,3
"nbh4001",2014-01-04,3,2014-04-08,4
"nbh4002",2014-01-04,4,2014-03-15,0
"nbh4003",2014-01-04,6,2014-04-08,6
"nbh4006",2014-01-04,10,2014-04-08,7
"nbh4008",2014-01-12,11,2014-01-12,11
"nbh4009",2014-01-04,9,2014-02-23,0
"nbh4010",2014-01-04,7,2014-03-24,16
"nbh4011",2014-01-04,8,2014-04-08,9
"nbh5001",2014-01-23,9,2014-02-05,16
"nbh5002",2014-01-21,4,2014-04-29,5
"nbh5003",2014-01-21,4,2014-04-29,5
"nbh5004",2014-01-21,3,2014-04-29,3
"nbh5005",2014-01-21,3,2014-04-29,3
