"c.id","ele","x","y"
"ML1001",991,708789.426504298,2324674.34944378
"ML1002",1074,708781.752724165,2324661.91857638
"ML1003",1427,708751.925924128,2324647.33098483
"ML1004",1459,708749.53526606,2324649.73169655
"ML1005",1510,708746.486858145,2324653.16953594
"ML1006",1554,708745.589022139,2324657.58789749
"ML1007",1643,708741.904226403,2324658.70988833
"ML1008",1710,708734.656671023,2324661.17245949
"ML1009",1778,708728.583679234,2324662.0185819
"ML1010",1822,708725.030898246,2324664.21974831
"ML1011",1817,708721.793474248,2324659.53345253
"ML1012",1773,708727.195346192,2324657.47956248
"ML1013",1709,708733.862955858,2324655.65531813
"ML1014",1608,708740.893753595,2324652.23764637
"ML1015",1534,708742.032828615,2324644.34614985
"ML1016",1463,708748.860211343,2324643.04772582
"ML1017",1467,708750.461538482,2324653.80311755
"ML1018",1499,708752.267740899,2324663.97747934
"ML1019",1504,708756.226667809,2324670.82566431
"ML1020",1447,708761.22903243,2324672.42676078
"ML1021",1449,708767.631166402,2324673.52165419
"ML1022",1498,708768.525428225,2324685.09982534
"ML1023",1573,708763.820253994,2324692.11591938
"ML1024",1520,708765.931121188,2324693.77257425
"ML1025",1457,708772.304619746,2324697.14395093
"ML1026",1430,708776.302348118,2324698.42455879
"ML1027",1299,708785.330654901,2324699.06190142
"ML1028",1055,708796.83488562,2324701.26747663
"ML2001",1102,749395.602720753,2408793.91478141
"ML2002",1191,749611.555664063,2409689.69610146
"ML2003",1249,749835.099841184,2410172.01825964
"ML2004",1220,749511.237918277,2410939.65448738
"ML2005",1294,748979.366246382,2410987.04262265
"ML2006",1257,749001.357124413,2410480.25412453
"ML2007",951,748990.152904253,2409374.42015318
"ML3001",1543,755830.523542804,2396523.09013473
"ML3002",1460,756173.710168962,2396993.24392902
"ML3003",1451,756336.206055495,2397410.05191209
"ML3004",1232,755466.646938803,2397676.8449765
"ML3005",NA,754724.865315541,2397126.83014644
"ML3006",1102,753413.945529362,2396434.61609029
"MG1001",1312,633776.356535924,2444440.37119048
"MG1002",1427,633577.304525885,2444222.78145719
"MG1003",1391,633356.84894715,2443958.88106284
"MG1004",1387,633281.915958026,2443772.1821662
"MG1005",1376,633120.421005733,2443314.11186263
"MG1006",1343,633490.918132612,2443326.17281627
"MG2001",1370,636491.660994909,2440338.6113341
"MG2002",1432,636665.958657593,2440669.19812112
"MG2003",1375,638967.779401689,2441075.6419123
"MG2004",1393,639898.524612169,2441694.37905073
"MG2005",1224,639528.886987019,2442808.42418187
"MG2006",1177,639501.715215689,2443092.35990883
"MG2007",1376,639661.530630087,2442106.23530772
"LSL1001",674,736345.46722619,2424460.51966595
"LSL1002",669,736788.86639727,2424533.5998302
"LSL1003",656,736830.535895643,2424512.06745765
"LSL1004",809,736825.825317798,2424135.3660797
"LSL1005",888,736643.267433436,2423900.01598902
"LSL1006",780,736433.594187583,2424096.2809624
"LSL2001",650,736606.222883823,2423611.45193499
"LSL2002",701,736885.109323083,2423626.69204803
"LSL2003",745,737387.558928001,2423900.0621922
"LSL2004",714,737447.24801534,2424056.03971834
"LSL2005",720,736713.381925043,2424742.94282191
"LSL2006",710,736198.801867527,2424591.26209341
